CountryWorldscopeList,CompanyNameOfficial,CompanyNameOfficialSource,CompanyNameOfficialNotes,ISIN,ISINSource,ISINNotes,WorldscopePermanentID,AccountingPeriodEndDate,CountryOfIncorporation,CountryOfIncorporationSource,CountryOfIncorporationNotes,Consolidation,ConsolidationSource,ConsolidationNotes,AccountingStandards,AccountingStandardsSource,AccountingStandardsNotes,ListingStatus,ListingStatusSource,ListingStatusNotes,ListingPrimary,ListingPrimarySource,ListingPrimaryNotes,SampleNoIFRSGermany2012,SampleNoIFRSGermany2020,SampleGermany2020,SampleNoIFRSUK2007,SampleNoIFRSUK2012,SampleNoIFRSUK2020
Germany,LS INVEST AG,1,,DE0006131204,1,,C28077490,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA General Standard,1,,,,1,,,
Germany,MAX Automation SE,1,,DE000A2DA588,1,,C280B3000,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,Schaltbau Holding AG,1,,DE000A2NBTL2,1,,C280B3180,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,Berentzen-Gruppe Aktiengesellschaft,1,,DE0005201602,1,,C280B2620,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA General Standard,1,,,,1,,,
Germany,,,,,,,C28084600,31/12/2012,Germany,1,,c,,,Local,,,2,3,CS: source: DGAP,,,,1,,,,,
Germany,Baader Bank Aktiengesellschaft,1,,DE0005088108,1,,C28084600,31/12/2020,Germany,1,,c,1,,Local,1,,2,2,"CS: Open Market München, Berlin, Düsseldorf, Frankfurt, Hamburg, Hannover, Stuttgart",MUN m:access,2,,,1,1,,,
Germany,Fielmann Aktiengesellschaft,1,,DE0005772206,1,,C280A3900,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,WASGAU Produktions & Handels AG,1,,DE0007016008,1,,C280B3020,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA General Standard,1,,,,1,,,
Germany,Sartorius Stedim Biotech S.A.,2,,FR0013154002,2,,C280NNS10,31/12/2020,France,2,,c,1,,IFRS,1,,1,2,,PAR Euronext Compartment A,2,CS: Euronext Paris; Local Securities - Compartment A (Large Caps),,,1,,,
Germany,Hannover Rück SE,1,,DE0008402215,1,,C280A3910,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,SGL Carbon SE,1,,DE0007235301,1,,C28069740,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,,,,,,,C28096240,31/12/2012,Germany,1,,u,,,Local,,,,,,,,,1,,,,,
Germany,Staatl. Mineralbrunnen Aktiengesellschaft Bad Brückenau,1,,DE0007251407,3,CS: source: DGAP,C28096240,31/12/2020,Germany,1,,u,1,,Local,1,,2,3,CS: source: DGAP,MUN Open Market,3,CS: source: DGAP,,1,1,,,
Germany,MEDICLIN Aktiengesellschaft,1,,DE0006595101,1,,C280AA160,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,,,,,,,C280AV790,31/12/2012,Germany,1,,u,,,Local,,,2,2,,,,,1,,,,,
Germany,Hyrican Informationssysteme Aktiengesellschaft,1,,DE0006004500,1,,C280AV790,31/12/2020,Germany,1,,u,1,,Local,1,,2,2,,MUN m:access,2,,,1,1,,,
Germany,itelligence AG,1,,DE0007300402,3,CS: source: DGAP,C280BZ960,31/12/2020,Germany,1,,c,1,,IFRS,1,,0,2,CS: 100% owned by NTT DATA EUROPE GmbH & Co. KG; squeeze-out 17/06/2013 (source: DGAP),,,,,,1,,,
Germany,,,,,,,C280BS990,31/12/2012,Germany,1,,u,,,Local,,,,,,,,,1,,,,,
Germany,ORBIS AG,1,,DE0005228779,1,,C280BY230,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA General Standard,1,,,,1,,,
Germany,,,,,,,C280CB570,31/12/2012,Germany,1,,c,,,Local,,,2,2,,,,,1,,,,,
Germany,MPC Münchmeyer Petersen Capital AG,1,,DE000A1TNWJ4,1,,C280CB570,31/12/2020,Germany,1,,c,1,,Local,1,,2,2,,FRA Scale,2,CS: FRA Scale since March 2017,,1,1,,,
Germany,Syzygy AG,1,,DE0005104806,1,,C280BZ970,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,Borussia Dortmund GmbH & Co. Kommanditgesellschaft auf Aktien,1,,DE0005493092,1,,C280BZ940,30/06/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,SPORTTOTAL AG,1,,DE000A1EMG56,1,,C280CC410,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA General Standard,1,,,,1,,,
Germany,,,CS: Schnigge Wertpapierhandelsbank AG,,,,C280E8760,31/12/2012,Germany,1,,u,,,Local,,,,,,,,,1,,,,,
Germany,Funkwerk AG,1,,DE0005753149,1,,C280CC330,31/12/2020,Germany,1,,c,1,,Local,1,,2,3,"CS: Open Market Berlin, Düsseldorf, Frankfurt, Hamburg, München (m:access), Stuttgart, Tradegate (source: DGAP)",MUN m:access,1,,,1,1,,,
Germany,TAKKT AG,1,,DE0007446007,1,,C280E9290,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,Synaxon AG,1,,DE0006873805,1,,C280E8390,31/12/2020,Germany,1,,u,1,,Local,1,,0,1,CS: delisting 07/10/2015,,,,,1,1,,,
Germany,NORDWEST Handel AG,1,,DE0006775505,1,,C280E8850,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA General Standard,1,,,,1,,,
Germany,7days music entertainment AG,,,,,,C280E8900,31/12/2012,Germany,1,,u,,,Local,,,2,2,"CS: ""im Segment Entry Standard notiert""",,,,1,,,,,
Germany,CANCOM SE,1,,DE0005419105,1,,C280E8770,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,Cash.Medien AG,2,CS: 2020 AR not in registry,DE0005251904,1,,C280E8780,31/12/2020,Germany,1,,c,1,,Local,1,,2,3,"CS: Open Market Hamburg (source: DGAP); no ad-hoc news with listing info after balance sheet date, but company still listed in Hamburg in 2022 (source: Hamburg Stock Exchange)",HAM Mittelstandsbörse Deutschland,2,CS: sources: AR 2015 and Hamburg Stock Exchange 2022,,,1,,,
Germany,Splendid Medien AG,1,,DE0007279507,1,,C280E8870,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA General Standard,1,,,,1,,,
Germany,SURTECO GROUP SE,1,,DE0005176903,1,,C280E9930,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,,,CS: Enerxy AG,,,,C280E9410,31/12/2012,Germany,1,,u,,,Local,,,,,,,,,1,,,,,
Germany,Readcrest Capital AG,1,,DE000A1E89S5,1,,C280E9410,31/12/2020,Germany,1,,u,1,,Local,1,,1,1,,FRA General Standard,1,,,1,1,,,
Germany,NorCom Information Technology GmbH & Co. KGaA,1,,DE000A12UP37,1,,C280E8840,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA General Standard,1,,,,1,,,
Germany,Elmos Semiconductor SE,1,,DE0005677108,1,,C280E9420,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,Dialog Semiconductor Plc,2,CS: company reports included in German registry,GB0059822006,2,,C28026B00,31/12/2020,United Kingdom,2,,c,1,,IFRS,1,,1,2,,FRA Prime Standard,2,,,,1,,,
Germany,SinnerSchrader Aktiengesellschaft,1,,DE0005141907,3,CS: source: DGAP,C280E9860,31/08/2020,Germany,1,,u,1,,Local,1,,0,2,CS: delisting 31/07/2019 (source: AR 2019),,,,,1,1,,,
Germany,,,CS: PANDATEL Aktiengesellschaft,,,,C280E9880,31/12/2012,Germany,1,,u,,,Local,,,,,,,,,1,,,,,
Germany,Panamax Aktiengesellschaft,1,,DE000A1R1C81,1,,C280E9880,31/12/2020,Germany,1,,u,1,,Local,1,,1,1,,FRA General Standard,1,,,1,1,,,
Germany,secunet Security Networks Aktiengesellschaft,1,,DE0007276503,1,,C280E9870,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,Evotec SE,1,,DE0005664809,1,,C280F1190,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,3U Holding AG,1,,DE0005167902,1,,C280F1120,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,Clere AG,1,,DE000A3H2309,1,,C280F1150,31/12/2020,Germany,1,,c,1,,Local,1,,2,3,"CS: Open Market Hamburg (source: DGAP); no ad-hoc news after balance sheet date, but company still listed in Hamburg in 2022 (source: Hamburg Stock Exchange)",HAM Open Market,1,,,,1,,,
Germany,freenet AG,1,,DE000A0Z2ZZ5,1,,C280A5300,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,,,CS: versiko AG,,,,C280669G0,31/12/2012,Germany,1,,u,,,Local,,,,,,,,,1,,,,,
Germany,ÖKOWORLD AG,1,,DE0005408686,1,,C280669G0,31/12/2020,Germany,1,,c,1,,Local,1,,2,3,"CS: Open Market Düsseldorf, Frankfurt (source: pressetext)",FRA Scale,1,,,1,1,,,
Germany,Deutsche Post AG,1,,DE0005552004,1,,C280FF480,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,Carthago Capital AG,2,CS: 2012 AR not in registry,DE0005418404,2,,C2809D700,31/12/2012,Germany,1,,u,,,Local,,,2,2,,,,,1,,,,,
Germany,,,,,,,C280669D0,31/12/2012,Germany,1,,u,,,Local,,,,,,,,,1,,,,,
Germany,,,,,,,C280CC380,31/12/2012,Germany,1,,u,,,Local,,,,,,,,,1,,,,,
Germany,TC Unterhaltungselektronik Aktiengesellschaft,1,,DE0007454209,1,,C280CC380,31/12/2020,Germany,1,,u,1,,Local,1,,1,1,,FRA General Standard,1,,,1,1,,,
Germany,,,,,,,C280I1380,31/12/2012,Germany,1,,c,,,Local,,,2,2,,,,,1,,,,,
Germany,CTS Eventim AG & Co. KGaA,1,,DE0005470306,1,,C280I1370,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,,,,,,,C280I1670,31/12/2012,Germany,1,,c,,"CS: ""freiwillig erstmalig""",Local,,,2,2,,,,,1,,,,,
Germany,Softline AG,1,,DE000A2DAN10,1,,C280I1670,31/12/2020,Germany,1,,u,1,CS: voluntary unaudited consolidated FS published on company website but not on registry; total assets in WS is from unconsolidated FS,Local,1,,2,1,,MUN m:access,1,,,1,1,,,
Germany,msg life ag,1,,DE0005130108,1,,C280I1950,31/12/2020,Germany,1,,c,1,,Local,1,,2,3,"CS: delisting from Regulated Market 22/03/2017 (source: AR 2017); Open Market Hamburg (source: DGAP); no ad-hoc news after balance sheet date, but company still listed in Hamburg in 2022 (source: Hamburg Stock Exchange)",HAM Open Market,1,,,1,1,,,
Germany,Infineon Technologies AG,1,,DE0006231004,1,,C280I7120,30/09/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,,,,,,,C280I7110,31/12/2012,Germany,1,,u,,,Local,,,2,2,,,,,1,,,,,
Germany,DCI Database for Commerce and Industry AG,1,,DE000A11QU11,1,,C280I7110,31/12/2020,Germany,1,,u,1,,Local,1,,2,2,CS: regulated until 02/12/2012,MUN m:access,2,,,1,1,,,
Germany,Carl Zeiss Meditec AG,1,,DE0005313704,1,,C280J2920,30/09/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,RATIONAL Aktiengesellschaft,1,,DE0007010803,1,,C280K1770,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,paragon GmbH & Co. KGaA,1,,DE0005558696,1,,C280G6330,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,Deutsche EuroShop AG,1,,DE0007480204,1,,C280CC310,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,Travel24.com AG,1,,DE000A0L1NQ8,1,,C280I9070,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA General Standard,1,,,,1,,,
Germany,USU Software AG,1,,DE000A0BVU28,1,,C280I9060,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,ATOSS Software AG,1,,DE0005104400,1,,C280I9840,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,,,,,,,C280I9860,30/09/2013,Germany,1,,u,,,Local,,,,,,,,,1,,,,,
Germany,PRO DV AG,1,,DE0006967805,1,,C280J2950,31/12/2020,Germany,1,,u,1,,Local,1,,2,2,,MUN m:access,2,,,1,1,,,
Germany,Bechtle Aktiengesellschaft,1,,DE0005158703,1,,C280J2930,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,GRENKE AG,1,,DE000A161N30,1,,C280K3000,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,q.beyond AG,1,,DE0005137004,1,,C280K5080,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
